epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,597.114,0.46899,0.55102,0.98391,0.99025,0.86658,0.96068,0.88782,0.41509,0.45618,0.92391,0.00103138,0.00103138,0.00103138
55,606.504,0.47387,0.60438,0.99368,0.91381,0.92492,0.93637,0.86465,0.40566,0.63901,0.91078,0.00102725,0.00102725,0.00102725
56,618.679,0.47493,0.59605,1.00294,0.94818,0.93847,0.96376,0.88344,0.4279,0.45999,0.94203,0.00102312,0.00102312,0.00102312
57,629.604,0.46584,0.585,1.00973,0.89588,0.88251,0.94085,0.8634,0.41488,0.57401,0.95056,0.001019,0.001019,0.001019
58,639.827,0.45913,0.61946,1.00262,0.94413,0.92335,0.97849,0.91062,0.37969,0.44285,0.89946,0.00101488,0.00101488,0.00101488
59,651.919,0.43268,0.61352,0.97877,0.90868,0.87399,0.96427,0.88808,0.39147,0.49126,0.90787,0.00101075,0.00101075,0.00101075
60,661.89,0.47939,0.61369,1.00472,0.96391,0.93312,0.98296,0.91803,0.36926,0.3883,0.87519,0.00100663,0.00100663,0.00100663
61,672.404,0.43757,0.5322,0.9805,0.92496,0.91153,0.9659,0.90217,0.37862,0.59192,0.88503,0.0010025,0.0010025,0.0010025
62,684.491,0.45244,0.55749,0.98546,0.93759,0.88057,0.97306,0.91021,0.39024,0.53451,0.89817,0.000998375,0.000998375,0.000998375
63,693.564,0.468,0.5895,0.9935,0.94271,0.94131,0.97706,0.90117,0.37083,0.45178,0.88361,0.00099425,0.00099425,0.00099425
64,705.374,0.45995,0.57087,0.98782,0.95136,0.96849,0.98179,0.9201,0.36737,0.40018,0.87217,0.000990125,0.000990125,0.000990125
65,716.715,0.44674,0.56521,0.97882,0.91823,0.94556,0.97356,0.90214,0.39995,0.42695,0.90194,0.000986,0.000986,0.000986
66,726.376,0.44506,0.58667,0.97198,0.9382,0.91884,0.9708,0.90812,0.3744,0.49477,0.89359,0.000981875,0.000981875,0.000981875
